"","Sample_ID","ng_g","Comment","Sender.ID","HairID","Sex","Collar_day","Collar_time","Waypoint.number","Waypoint_day","Waypoint_time","X","Y"
"1","013A",733.81,"",9372,"G06","f","09/05/2020","08:00",NA,"09/05/2020","11:35",385049.821799347,5423214.9727676
"2","013C",700.26,"",9372,"G06","f","09/05/2020","07:01",NA,"09/05/2020","12:05",384990.417445613,5423296.15827969
"3","014A",495.44,"",29506,"G01","f","12/05/2020","05:30",NA,"12/05/2020","10:55",377660.44197435,5431048.40135489
"4","014B",495.77,"",29506,"G01","f","12/05/2020","05:15",NA,"12/05/2020","10:45",377647.462071637,5431043.57182963
"5","014C",576.18,"",22399,"G28","f","12/05/2020","04:00",NA,"12/05/2020","11:00",377529.119030275,5431143.16129544
"6","015A",673.2,"",29507,"G21","f","12/05/2020","08:00",NA,"12/05/2020","13:05",376085.469599647,5431185.12129621
"7","017A",780.89,"",29521,"G22","f","30/05/2020","09:01",NA,"30/05/2020","15:15",380081.612430712,5432505.3387241
"8","017B",553.52,"",29521,"G22","f","30/05/2020","09:01",NA,"30/05/2020","15:45",380095.331565349,5432487.13696501
"9","017C",211.53,"",29500,"G46","f","30/05/2020","09:01",NA,"30/05/2020","15:30",380079.415918081,5432501.8274609
"10","018A",238.04,"",8914,"G02","f","31/05/2020","07:00",NA,"31/05/2020","11:00",382283.420009566,5422099.15667122
"11","020A",479.05,"",5947,"G18","f","16/06/2020","07:00",NA,"16/06/2020","12:00",392811.267195528,5420391.32892326
"12","023A",307.01,"",6440,"G19","f","18/06/2020","23:00",NA,"19/06/2020","10:15",394643.925557305,5417117.49078877
"13","024A",148.61,"",6195,"G07","f","22/06/2020","22:00",NA,"23/06/2020","10:20",377786.184675683,5435794.00060224
"14","025A",528.66,"",29509,"G11","f","25/06/2020","05:00",NA,"25/06/2020","11:45",382564.360446526,5421033.29895036
"15","026A",442.09,"",29516,"G04","f","25/06/2020","03:00",NA,"25/06/2020","12:00",382479.519101452,5422531.94597601
"16","026B",377.52,"",29516,"G04","f","25/06/2020","03:00",NA,"25/06/2020","12:15",382445.485603413,5422515.9839846
"17","026C",176.22,"",29516,"G04","f","25/06/2020","03:00",NA,"25/06/2020","12:30",382466.081160643,5422519.99705408
