"","Datum","Zeit","X","Y"
"1","07/04/2020","22:30:00",390800.376116832,5415725.6090551
"2","23/04/2020","21:30:00",390800.376116832,5415725.6090551
"3","06/05/2020","09:20:00",374819.797145812,5435446.63521649
"4","07/05/2020","23:00:00",388157.639918063,5418800.76328479
"5","11/05/2020","23:30:00",388416.088976274,5419949.54078176
"6","31/05/2020","21:15:00",378393.209036214,5431956.24374638
"7","05/06/2020","22:30:00",394951.705706545,5414915.8997045
"8","05/06/2020","22:30:00",394951.705706545,5414915.8997045
"9","08/06/2020","23:55:00",394437.928673709,5417060.04510581
"10","08/06/2020","23:55:00",394437.928673709,5417060.04510581
"11","08/06/2020","23:55:00",394437.928673709,5417060.04510581
"12","15/06/2020","21:35:00",377894.849987035,5431874.7763876
"13","15/06/2020","22:00:00",377894.849987035,5431874.7763876
"14","18/06/2020","21:25:00",377105.943443935,5431306.32902608
"15","27/06/2020","21:25:00",377105.943443935,5431306.32902608
"16","28/06/2020","23:16:00",378491.047230691,5431848.8919819
"17","30/06/2020",NA,377894.849987035,5431874.7763876
"18","02/07/2020","21:45:00",377105.943443935,5431306.32902608
"19","06/07/2020","23:50:00",394951.705706545,5414915.8997045
"20","06/07/2020","23:50:00",394951.705706545,5414915.8997045
"21","06/07/2020","23:50:00",394951.705706545,5414915.8997045
"22","11/07/2020","22:05:00",376255.955221899,5435206.84021783
"23","14/07/2020","20:35:00",386669.361825872,5418816.81619783
"24","14/07/2020","20:35:00",386669.361825872,5418816.81619783
"25","14/07/2020","21:45:00",385541.852780454,5419853.74896607
"26","14/07/2020","21:50:00",395996.244285858,5424274.25669238
"27","26/07/2020","22:15:00",391774.982791949,5415360.74682348
"28","27/07/2020","22:05:00",385541.852780454,5419853.74896607
"29","31/07/2020","21:55:00",372525.110226151,5435733.85824083
"30","31/07/2020","22:05:00",376632.741428073,5432773.51606833
"31","01/08/2020","20:10:00",380998.187740525,5428292.51159744
"32","02/08/2020","21:20:00",382961.948653677,5422465.70848442
"33","03/08/2020","21:10:00",394143.088074284,5422179.99463061
"34","06/08/2020","21:10:00",375991.282213633,5433357.35787395
"35","07/08/2020","07:15:00",378452.117545131,5431934.60035371
"36","09/08/2020","21:15:00",373095.609085646,5435155.77292172
"37","16/08/2020","21:00:00",373095.609085646,5435155.77292172
"38","16/08/2020","21:00:00",373095.609085646,5435155.77292172
"39","18/08/2020","06:25:00",386820.081186025,5419340.07297807
"40","18/08/2020","20:05:00",380567.955731695,5426838.55668983
"41","18/08/2020","20:25:00",383430.360682482,5419381.92770571
"42","18/08/2020","21:20:00",380443.315827701,5427668.86497788
"43","23/08/2020","20:30:00",386667.206320791,5418812.90008786
"44","23/08/2020","20:40:00",388339.229278533,5417454.36080359
"45","25/08/2020","20:25:00",372250.118609415,5436777.63902437
"46","25/08/2020","20:30:00",372250.77591814,5436777.62385945
"47","25/08/2020","21:00:00",373743.960661874,5436300.95355241
"48","26/08/2020","06:25:00",383430.360682482,5419381.92770571
"49","29/08/2020","21:00:00",375862.243062833,5433214.10973118
"50","05/09/2020","19:45:00",371222.001455163,5437972.48419597
"51","05/09/2020","19:50:00",371222.001455163,5437972.48419597
"52","05/09/2020","22:45:00",372668.198537775,5436051.09731902
"53","05/09/2020","22:45:00",372668.198537775,5436051.09731902
"54","07/09/2020","07:20:00",385002.562374229,5421320.63878282
"55","09/09/2020","06:30:00",385770.461859879,5421234.2771871
"56","09/09/2020","06:30:00",385770.461859879,5421234.2771871
"57","09/09/2020","06:30:00",385770.461859879,5421234.2771871
"58","10/09/2020","23:45:00",370805.92119722,5438325.62744328
"59","14/09/2020","19:30:00",376009.839454138,5433239.05501523
"60","14/09/2020","19:30:00",376009.839454138,5433239.05501523
"61","15/09/2020","13:00:00",376377.575105028,5438338.83720056
"62","17/09/2020","20:30:00",371201.153544204,5438005.8902758
"63","21/09/2020","23:55:00",372668.198537775,5436051.09731902
"64","21/09/2020","23:55:00",372668.198537775,5436051.09731902
"65","26/09/2020","07:20:00",380998.187740525,5428292.51159744
"66","26/09/2020","07:35:00",380998.187740525,5428292.51159744
"67","26/09/2020","19:20:00",385226.243359197,5421151.35267631
"68","28/09/2020","19:00:00",377073.576359578,5431231.9770526
"69","30/09/2020","19:20:00",376009.839454138,5433239.05501523
"70","27/10/2020","19:00:00",369578.966855725,5438297.57100308
"71","28/12/2020","16:20:00",392836.42380208,5415539.68375335
"72","07/01/2021","16:30:00",394154.858616193,5418942.97066347
"73","07/01/2021","16:30:00",394154.858616193,5418942.97066347
"74","08/01/2021",NA,377042.337211653,5431119.45396759
"75","09/01/2021","16:45:00",394154.858616193,5418942.97066347
"76","09/01/2021","16:45:00",394154.858616193,5418942.97066347
"77","10/01/2021",NA,377495.552597511,5430775.78667649
"78","11/01/2021","00:36:00",378093.17398308,5431674.56727824
"79","11/01/2021","00:36:00",378093.17398308,5431674.56727824
"80","11/01/2021","00:36:00",378093.17398308,5431674.56727824
"81","11/01/2021","05:20:00",376376.456608842,5433239.54161138
"82","11/01/2021","05:20:00",376376.456608842,5433239.54161138
"83","11/01/2021","05:20:00",376376.456608842,5433239.54161138
"84","11/01/2021","05:20:00",376376.456608842,5433239.54161138
"85","11/01/2021","05:20:00",376376.456608842,5433239.54161138
"86","11/01/2021","05:20:00",376376.456608842,5433239.54161138
"87","11/01/2021",NA,379206.828103732,5432773.44305134
"88","11/01/2021",NA,379206.828103732,5432773.44305134
"89","11/01/2021",NA,377264.649094237,5432571.4285951
"90","16/01/2021",NA,377264.649094237,5432571.4285951
"91","16/01/2021",NA,377309.065396575,5432926.32948144
"92","16/01/2021",NA,377309.065396575,5432926.32948144
"93","17/01/2021","08:10:00",394907.202798353,5414939.93311609
"94","17/01/2021",NA,371305.895515911,5437967.19639136
"95","17/01/2021",NA,371305.895515911,5437967.19639136
"96","21/01/2021",NA,369531.805850309,5438949.65954964
"97","21/01/2021",NA,371305.895515911,5437967.19639136
"98","21/01/2021",NA,371228.35926086,5437972.55871982
"99","22/01/2021",NA,371739.970133036,5437309.7146722
"100","24/01/2021","00:45:00",375683.389913979,5434937.7280234
"101","24/01/2021","00:45:00",380934.964759861,5429073.89531891
"102","26/01/2021",NA,378093.17398308,5431674.56727824
"103","26/01/2021",NA,378093.17398308,5431674.56727824
