# ;Datum;Zeit;Breitengrad_wgs;Laengengrad_wgs
5;15/07/2020;21:45;48.92103091;13.43757775
6;15/07/2020;20:35;48.91191377;13.45325101
7;15/07/2020;20:35;48.91191377;13.45325101
8;28/07/2020;22:05;48.92103091;13.43757775
9;03/08/2020;21:20;48.94403585;13.40162489
10;19/08/2020;06:25;48.91664671;13.45516215
11;19/08/2020;20:25;48.91639417;13.40890094
12;24/08/2020;20:40;48.89996514;13.47640565
13;24/08/2020;20:30;48.91187816;13.45322269
14;27/08/2020;06:25;48.91639417;13.40890094
15;08/09/2020;07:20;48.93412175;13.42980536
16;10/09/2020;06:30;48.93348739;13.44031051
17;10/09/2020;06:30;48.93348739;13.44031051
18;10/09/2020;06:30;48.93348739;13.44031051
21;04/10/2020;19:00;48.92103091;13.43757775
22;04/10/2020;21:00;48.92684453;13.43433298
23;13/10/2020;08:10;48.94403585;13.40162489
24;13/10/2020;08:10;48.94403585;13.40162489
25;13/10/2020;08:20;48.94403585;13.40162489
26;13/10/2020;08:25;48.94403585;13.40162489
27;13/10/2020;08:10;48.94403585;13.40162489
28;13/10/2020;08:15;48.94403585;13.40162489
29;13/10/2020;09:00;48.94403585;13.40162489
30;12/10/2020;20:10;48.93115494;13.43625809
31;18/10/2020;08:10;48.93412175;13.42980536
33;02/11/2020;17:35;48.93326407;13.43442145
36;26/11/2020;17:00;48.91409747;13.4238306
37;27/11/2020;07:45;48.94403585;13.40162489
38;27/11/2020;07:45;48.94403585;13.40162489
39;27/11/2020;07:45;48.94403585;13.40162489
40;27/11/2020;07:45;48.94403585;13.40162489
41;27/11/2020;07:45;48.94403585;13.40162489
42;27/11/2020;07:45;48.94403585;13.40162489
43;27/11/2020;07:45;48.94403585;13.40162489
44;27/11/2020;07:45;48.94403585;13.40162489
45;02/12/2020;16:50;48.92921692;13.43807221
46;11/12/2020;16:45;48.95563923;13.3455146
47;28/12/2020;17:45;48.95563923;13.3455146
48;30/12/2020;18:20;48.95900651;13.35131334
49;27/12/2020;17:20;48.92113847;13.44048734
50;31/12/2020;08:00;48.94403585;13.40162489
51;31/12/2020;08:10;48.94403585;13.40162489
